"driverId","raceId","año","circuitId","fecha","hora","pos_en_carrera","acumulado_victorias","fecha_nac","referencia","nacionalidad","tiempo_total","tiempo_medio","num_vuelta_rapida","tiempo_mas_rapido","tiempo_medio_box","tiempo_total_box","num_veces_box","q1","q2","q3","puntos_carrera","vel_vuelta_rapida","edad","q1_ms","q2_ms","q3_ms"
1,848,2011,12,2011-06-26,12,4,1,1985-01-07,"hamilton","British",6022359,105655.421052632,47,102947,20529,61587,3,"1:39.244","1:37.727","1:37.380",12,189.499,26,99244,97727,97380
1,849,2011,9,2011-07-10,12,4,1,1985-01-07,"hamilton","British",5350182,102888.115384615,37,94517,24168.3333333333,72505,3,"1:33.581","1:32.505","1:32.376",12,220.499,26,93581,92505,92376
1,850,2011,20,2011-07-24,12,3,2,1985-01-07,"hamilton","British",5850334,97505.5666666667,59,94302,20627,61881,3,"1:32.934","1:30.998","1:30.134",25,196.526,26,92934,90998,90134
1,851,2011,11,2011-07-31,12,3,2,1985-01-07,"hamilton","British",6450675,92152.5,61,83661,19866.6666666667,119200,6,"1:21.636","1:21.105","1:19.978",12,188.517,26,81636,81105,79978
1,852,2011,13,2011-08-28,12,5,2,1985-01-07,"hamilton","British",1419493,118291.083333333,8,115647,21895,21895,1,"2:03.008","2:02.823","1:48.730",0,218.029,26,123008,122823,108730
1,853,2011,14,2011-09-11,12,5,2,1985-01-07,"hamilton","British",4863589,91765.8301886792,52,86187,21979.5,43959,2,"1:23.976","1:23.172","1:22.725",12,241.971,26,83976,83172,82725
1,854,2011,15,2011-09-25,12,5,2,1985-01-07,"hamilton","British",7214523,118270.868852459,54,110832,29704.4,148522,5,"1:47.014","1:46.829","1:44.809",10,164.779,26,107014,106829,104809
1,855,2011,22,2011-10-09,6,5,2,1985-01-07,"hamilton","British",5477695,103352.735849057,49,97645,21734.6666666667,65204,3,"1:32.843","1:31.139","1:30.617",10,214.093,26,92843,91139,90617
1,856,2011,35,2011-10-16,6,5,2,1985-01-07,"hamilton","British",5894013,107163.872727273,54,100459,20715,41430,2,"1:37.525","1:36.526","1:35.820",18,201.216,26,97525,96526,95820
1,857,2011,68,2011-10-30,9,5,2,1985-01-07,"hamilton","British",5519185,91986.4166666667,58,88721,23965,71895,3,"1:26.563","1:25.019","1:24.474",6,207.955,26,86563,85019,84474
1,858,2011,24,2011-11-13,13,5,3,1985-01-07,"hamilton","British",5831886,106034.290909091,51,103461,19394.5,38789,2,"1:39.782","1:38.434","1:38.622",25,193.255,26,99782,98434,98622
1,859,2011,18,2011-11-27,16,5,3,1985-01-07,"hamilton","British",3659749,79559.7608695652,35,77209,20725.3333333333,62176,3,"1:13.361","1:12.811","1:12.480",0,200.914,26,73361,72811,72480
1,860,2012,1,2012-03-18,6,3,0,1985-01-07,"hamilton","British",5653640,97476.5517241379,57,89538,23163,46326,2,"1:26.800","1:25.626","1:24.922",15,213.214,27,86800,85626,84922
1,861,2012,2,2012-03-25,8,2,0,1985-01-07,"hamilton","British",9906403,176900.053571429,50,101539,26190,78570,3,"1:37.813","1:37.106","1:36.219",15,196.523,27,97813,97106,96219
1,862,2012,17,2012-04-15,7,1,0,1985-01-07,"hamilton","British",5812941,103802.517857143,40,100530,20590.3333333333,61771,3,"1:36.763","1:35.902","1:35.626",15,195.201,27,96763,95902,95626
1,863,2012,3,2012-04-22,12,2,0,1985-01-07,"hamilton","British",5769974,101227.614035088,38,97733,27553,82659,3,"1:34.813","1:33.209","1:32.520",4,199.351,27,94813,93209,92520
1,864,2012,4,2012-05-13,12,3,0,1985-01-07,"hamilton","British",6027285,91322.5,50,88918,20971.5,41943,2,"1:22.583","1:22.465","1:21.707",4,188.465,27,82583,82465,81707
1,865,2012,6,2012-05-27,12,4,0,1985-01-07,"hamilton","British",6370658,81675.1025641026,46,78806,25748,25748,1,"1:16.063","1:15.166","1:14.583",10,152.577,27,76063,75166,74583
1,866,2012,7,2012-06-10,18,1,1,1985-01-07,"hamilton","British",5549586,79279.8,59,77020,21952.5,43905,2,"1:14.891","1:14.371","1:14.087",25,203.837,27,74891,74371,74087
